iter	Passed	Remaining
0	578	86241
1	1112	82325
2	1654	81081
3	2211	80709
4	2714	78708
5	3241	77805
6	3726	76125
7	4245	75355
8	4764	74638
9	5256	73590
10	5748	72635
11	6235	71712
12	6711	70731
13	7204	69982
14	7702	69326
15	8177	68485
16	8657	67734
17	9147	67082
18	9638	66453
19	10127	65831
20	10578	64981
21	11050	64292
22	11549	63772
23	12044	63235
24	12475	62375
25	12910	61574
26	13338	60762
27	13778	60036
28	14165	59106
29	14573	58293
30	15018	57649
31	15444	56952
32	15893	56350
33	16315	55665
34	16805	55219
35	17282	54729
36	17722	54125
37	18147	53486
38	18522	52716
39	19012	52283
40	19428	51652
41	19882	51126
42	20311	50543
43	20744	49974
44	21091	49214
45	21471	48545
46	21919	48036
47	22308	47404
48	22722	46836
49	23227	46454
50	23629	45869
51	24073	45369
52	24510	44858
53	24955	44365
54	25329	43751
55	25827	43353
56	26157	42678
57	26616	42219
58	27010	41660
59	27404	41107
60	27815	40583
61	28228	40065
62	28599	39494
63	28990	38955
64	29465	38531
65	29828	37964
66	30294	37528
67	30715	37039
68	31160	36580
69	31517	36019
70	31935	35533
71	32298	34990
72	32779	34575
73	33182	34079
74	33564	33564
75	34053	33157
76	34453	32663
77	34867	32185
78	35297	31723
79	35660	31202
80	36018	30682
81	36385	30173
82	36725	29646
83	37211	29237
84	37617	28766
85	37941	28235
86	38300	27734
87	38777	27320
88	39171	26848
89	39607	26405
90	40010	25940
91	40478	25519
92	40901	25068
93	41374	24648
94	41729	24159
95	42169	23720
96	42610	23282
97	43015	22824
98	43477	22397
99	43951	21975
100	44296	21490
101	44675	21023
102	45049	20556
103	45464	20109
104	45942	19689
105	46388	19255
106	46813	18812
107	47241	18371
108	47610	17908
109	48058	17475
110	48517	17046
111	48901	16591
112	49345	16157
113	49702	15695
114	50035	15228
115	50473	14793
116	50888	14353
117	51353	13926
118	51690	13465
119	52131	13032
120	52582	12602
121	53028	12170
122	53465	11736
123	53906	11302
124	54327	10865
125	54729	10424
126	55095	9977
127	55469	9533
128	55810	9085
129	56198	8645
130	56595	8208
131	57068	7782
132	57524	7352
133	57826	6904
134	58224	6469
135	58633	6035
136	59054	5603
137	59495	5173
138	59940	4743
139	60383	4313
140	60850	3884
141	61289	3452
142	61742	3022
143	62120	2588
144	62564	2157
145	62873	1722
146	63331	1292
147	63640	860
148	64079	430
149	64424	0
